2.9138E+00 3.3895E-42 3.4656E-38
2.9408E+00 3.2669E-42 3.0166E-38
2.9681E+00 3.1488E-42 2.6261E-38
2.9955E+00 3.0350E-42 2.2864E-38
3.0233E+00 2.9253E-42 1.9910E-38
3.0513E+00 2.8195E-42 1.7339E-38
3.0796E+00 2.7176E-42 1.5103E-38
3.1081E+00 2.6194E-42 1.3157E-38
3.1369E+00 2.5247E-42 1.1463E-38
3.1659E+00 2.4334E-42 9.9883E-39
3.1952E+00 2.3455E-42 8.7048E-39
3.2248E+00 2.2607E-42 7.5873E-39
3.2547E+00 2.1790E-42 6.6143E-39
3.2849E+00 2.1002E-42 5.7669E-39
3.3153E+00 2.0243E-42 5.0288E-39
3.3460E+00 1.9512E-42 4.3859E-39
3.3770E+00 1.8807E-42 3.8257E-39
3.4083E+00 1.8127E-42 3.3376E-39
3.4398E+00 1.7472E-42 2.9123E-39
3.4717E+00 1.6841E-42 2.5415E-39
3.5038E+00 1.6232E-42 2.2184E-39
3.5363E+00 1.5646E-42 1.9366E-39
3.5690E+00 1.5081E-42 1.6909E-39
3.6021E+00 1.4536E-42 1.4767E-39
3.6355E+00 1.4011E-42 1.2898E-39
3.6691E+00 1.3504E-42 1.1268E-39
3.7031E+00 1.3017E-42 9.8454E-40
3.7374E+00 1.2546E-42 8.6042E-40
3.7720E+00 1.2093E-42 7.5210E-40
3.8070E+00 1.1657E-42 6.5755E-40
3.8422E+00 1.1236E-42 5.7501E-40
3.8778E+00 1.0830E-42 5.0293E-40
3.9137E+00 1.0439E-42 4.3999E-40
3.9500E+00 1.0062E-42 3.8501E-40
3.9866E+00 9.6984E-43 3.3698E-40
4.0235E+00 9.3482E-43 2.9502E-40
4.0608E+00 9.0106E-43 2.5834E-40
4.0984E+00 8.6853E-43 2.2629E-40
4.1363E+00 8.3718E-43 1.9826E-40
4.1747E+00 8.0695E-43 1.7376E-40
4.2133E+00 7.7782E-43 1.5233E-40
4.2523E+00 7.4975E-43 1.3358E-40
4.2917E+00 7.2268E-43 1.1718E-40
4.3315E+00 6.9660E-43 1.0283E-40
4.3716E+00 6.7146E-43 9.0268E-41
4.4121E+00 6.4723E-43 7.9270E-41
4.4530E+00 6.2387E-43 6.9640E-41
4.4942E+00 6.0136E-43 6.1205E-41
4.5358E+00 5.7966E-43 5.3815E-41
4.5778E+00 5.5875E-43 4.7340E-41
4.6202E+00 5.3859E-43 4.1663E-41
4.6630E+00 5.1916E-43 3.6687E-41
4.7062E+00 5.0043E-43 3.2322E-41
4.7498E+00 4.8238E-43 2.8493E-41
4.7938E+00 4.6498E-43 2.5133E-41
4.8382E+00 4.4821E-43 2.2183E-41
4.8830E+00 4.3205E-43 1.9593E-41
4.9282E+00 4.1647E-43 1.7317E-41
4.9739E+00 4.0145E-43 1.5318E-41
5.0200E+00 3.8698E-43 1.3560E-41
5.0665E+00 3.7303E-43 1.2014E-41
5.1134E+00 3.5958E-43 1.0654E-41
5.1607E+00 3.4662E-43 9.4563E-42
5.2085E+00 3.3413E-43 8.4018E-42
5.2568E+00 3.2209E-43 7.4727E-42
5.3055E+00 3.1048E-43 6.6537E-42
5.3546E+00 2.9929E-43 5.9312E-42
5.4042E+00 2.8851E-43 5.2935E-42
5.4543E+00 2.7811E-43 4.7304E-42
5.5048E+00 2.6809E-43 4.2327E-42
5.5558E+00 2.5844E-43 3.7926E-42
5.6072E+00 2.4913E-43 3.4031E-42
5.6592E+00 2.4016E-43 3.0581E-42
5.7116E+00 2.3151E-43 2.7523E-42
5.7645E+00 2.2317E-43 2.4810E-42
5.8179E+00 2.1514E-43 2.2402E-42
5.8718E+00 2.0739E-43 2.0260E-42
5.9262E+00 1.9993E-43 1.8355E-42
5.9810E+00 1.9273E-43 1.6659E-42
6.0364E+00 1.8580E-43 1.5146E-42
6.0923E+00 1.7911E-43 1.3796E-42
6.1488E+00 1.7267E-43 1.2589E-42
6.2057E+00 1.6646E-43 1.1509E-42
6.2632E+00 1.6047E-43 1.0541E-42
6.3212E+00 1.5470E-43 9.6725E-43
6.3798E+00 1.4913E-43 8.8923E-43
6.4389E+00 1.4377E-43 8.1903E-43
6.4985E+00 1.3860E-43 7.5576E-43
6.5587E+00 1.3362E-43 6.9866E-43
6.6194E+00 1.2882E-43 6.4704E-43
6.6807E+00 1.2419E-43 6.0030E-43
6.7426E+00 1.1972E-43 5.5791E-43
6.8051E+00 1.1542E-43 5.1940E-43
6.8681E+00 1.1128E-43 4.8435E-43
6.9317E+00 1.0728E-43 4.5240E-43
6.9959E+00 1.0343E-43 4.2323E-43
7.0607E+00 9.9712E-44 3.9655E-43
7.1261E+00 9.6132E-44 3.7209E-43
7.1921E+00 9.2681E-44 3.4965E-43
7.2587E+00 8.9355E-44 3.2901E-43
7.3260E+00 8.6148E-44 3.1001E-43
7.3938E+00 8.3057E-44 2.9248E-43
7.4623E+00 8.0077E-44 2.7628E-43
7.5314E+00 7.7205E-44 2.6128E-43
7.6012E+00 7.4436E-44 2.4739E-43
7.6716E+00 7.1767E-44 2.3449E-43
7.7426E+00 6.9195E-44 2.2250E-43
7.8144E+00 6.6714E-44 2.1135E-43
7.8867E+00 6.4324E-44 2.0095E-43
7.9598E+00 6.2019E-44 1.9125E-43
8.0335E+00 5.9797E-44 1.8219E-43
8.1079E+00 5.7655E-44 1.7372E-43
8.1830E+00 5.5591E-44 1.6579E-43
8.2588E+00 5.3600E-44 1.5837E-43
8.3353E+00 5.1682E-44 1.5141E-43
8.4125E+00 4.9832E-44 1.4489E-43
8.4904E+00 4.8049E-44 1.3878E-43
8.5691E+00 4.6330E-44 1.3305E-43
8.6484E+00 4.4673E-44 1.2767E-43
8.7285E+00 4.3076E-44 1.2263E-43
8.8094E+00 4.1536E-44 1.1791E-43
8.8910E+00 4.0052E-44 1.1349E-43
8.9733E+00 3.8620E-44 1.0936E-43
9.0564E+00 3.7241E-44 1.0551E-43
9.1403E+00 3.5911E-44 1.0193E-43
9.2250E+00 3.4628E-44 9.8604E-44
9.3104E+00 3.3392E-44 9.5536E-44
9.3966E+00 3.2201E-44 9.2722E-44
9.4837E+00 3.1052E-44 9.0160E-44
9.5715E+00 2.9944E-44 8.7854E-44
9.6602E+00 2.8876E-44 8.5809E-44
9.7496E+00 2.7847E-44 8.4037E-44
9.8400E+00 2.6854E-44 8.2550E-44
9.9311E+00 2.5898E-44 8.1371E-44
1.0023E+01 2.4975E-44 8.0528E-44
1.0116E+01 2.4086E-44 8.0059E-44
1.0210E+01 2.3228E-44 8.0014E-44
1.0304E+01 2.2402E-44 8.0462E-44
1.0400E+01 2.1605E-44 8.1496E-44
1.0496E+01 2.0836E-44 8.3239E-44
1.0593E+01 2.0095E-44 8.5866E-44
